YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,313Be,65,Utah juniper,Juniperus osteosperma,-0.000451798793227193,-0.169224634600838,Decline,0.000159917332210141,0.0600125772767821,0.266981692289,0.25989200993212,-0.00270083687478136,-0.00172275485785115,1.24873068130028e-06,0.175858055435278,0.0026552963476087,0.00273190361731931,4.9523820279515e-05,2.21454271306467e-05,39,190
2018,313Be,66,Rocky Mountain juniper,Juniperus scopulorum,0.00260281120080641,3.47911652668562,Expand,0.000199417042989432,0.347636382580551,0.0748124180619491,0.099142310139628,-0.00879807281616284,0.0334853507833537,1.67262774608479e-06,5.08305953864466,0.000831707031559349,0.000884220497206624,0.000321363424203565,0.00074916154272635,25,164
2018,313Be,69,oneseed juniper,Juniperus monosperma,-0.00121162250253284,-1.9458734819614,Decline,0.000613175443468095,1.38071048585216,0.0622662528558406,0.0548100144240342,-0.0193538879391073,-0.0188775654046934,2.50060197368816e-06,12.6788629718779,0.00106764042777156,0.00176566029986141,0.000654965312079119,0.00139800700576641,2,28
2018,313Be,93,Engelmann spruce,Picea engelmannii,-0.0140154955711593,-5.18829502409518,Decline,0.0024233456929727,0.185382930131403,0.270136827340569,0.131969031487466,-0.0372944682361196,-0.0580499446646608,4.67079758932375e-05,0.273337859791875,0.0203374678670395,0.00608112605126387,5.49815115365634e-05,5.40005011570067e-05,5,33
2018,313Be,96,blue spruce,Picea pungens,-0.00625070135582193,-2.29948649452847,Decline,0.000533296124867222,0.210495326001507,0.271830313885088,0.208594030486011,-0.0186662536862612,-0.0193946624048317,1.66916845216056e-06,0.260044831051821,2.64309126707523e-05,0.000318424433852113,2.03390917866715e-05,7.29391591765319e-05,3,25
2018,313Be,106,common or two-needle pinyon,Pinus edulis,-0.0014920371505928,-1.67525573879667,Decline,0.000109339293219274,0.116952621599963,0.0890632466458239,0.0732389786655987,-0.00295836871974123,-0.0239281079354962,6.08652041357483e-07,0.696364272458175,0.000182829239319076,0.000157113726943012,0.000301862574675913,5.43786569781596e-05,34,198
2018,313Be,114,southwestern white pine ,Pinus strobiformis,0.000297118581851268,0.699881012263322,Expand,0,0,0.0424527279130528,0.0453942018733804,0,0.00892489541138193,0,0,0,-9.63434515370746e-19,0,-6.91265733027359e-20,1,10
2018,313Be,122,ponderosa pine,Pinus ponderosa,0.000714753179986299,0.438161946467309,Expand,6.2633939123427e-05,0.0413390058805199,0.163125343437287,0.169929614352994,0.0106703166740152,0.00249314929207714,1.70110208416301e-07,0.0741021795509173,0.00055889892311939,0.000540759535395767,0.000117523570518963,3.13026729664513e-05,38,169
2018,313Be,202,Douglas-fir,Pseudotsuga menziesii,-0.00363679603542518,-2.09134262572643,Decline,0.000404018775664335,0.189265152871485,0.173897667014841,0.138359536911316,-0.0267255749610163,-0.016627999664269,5.29331978709187e-06,1.16162608355688,0.00149083205170307,0.000887539084129673,0.000106109977256178,0.000146820733138759,21,127
2018,313Be,313,boxelder,Acer negundo,0.011839204927927,4.69300255940029,Expand,0,5.37954364298731e-08,0.252273566401804,0.370665615681074,0.140866233240882,0.00540271852220304,0,7.16865842880931e-15,0,4.67176875845355e-17,-4.57059190292966e-18,-9.22696852367176e-21,1,12
2018,313Be,746,quaking aspen,Populus tremuloides,-0.00477320926433829,-1.89377320471145,Decline,0.000244666048428508,0.074823273269364,0.252047565804776,0.204058949343066,-0.0287733521428215,-0.0139164881969412,1.45810164588164e-06,0.136368414458531,0.0055061396935189,0.00429593801960163,5.68257674190737e-05,9.23985352451571e-06,15,96
